City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Hargeysa,SO,9.56,44.065,67.48,65,79,28.23,broken clouds
218,Kapasan,ID,-6.7773,111.3789,71.92,85,10,6.49,clear sky
219,Port Elizabeth,ZA,-33.918,25.5701,78.1,42,0,5.75,clear sky
220,Meulaboh,ID,4.1363,96.1285,77.0,89,99,3.4,light rain
221,Deputatskiy,RU,69.3,139.9,38.32,88,48,3.06,scattered clouds
222,Aguimes,ES,27.9054,-15.4461,79.66,61,0,29.93,clear sky
223,Skibbereen,IE,51.55,-9.2667,65.1,77,13,5.19,few clouds
224,Inverell,AU,-29.7833,151.1167,36.16,87,1,1.99,clear sky
225,Samarai,PG,-10.6167,150.6667,80.6,79,30,9.66,scattered clouds
226,Sambava,MG,-14.2667,50.1667,69.26,85,44,16.11,light rain
227,Port Hardy,CA,50.6996,-127.4199,57.38,100,100,5.75,overcast clouds
228,Bonfim,BR,3.0833,-59.95,86.11,64,60,5.59,broken clouds
229,Pangnirtung,CA,66.1451,-65.7125,46.4,87,75,20.71,broken clouds
230,Mahon,ES,39.8885,4.2658,84.76,32,0,9.22,clear sky
231,Wasilla,US,61.5814,-149.4394,66.52,60,0,11.5,clear sky
232,Trelew,AR,-43.249,-65.3051,61.34,23,59,13.29,broken clouds
233,Razole,IN,16.4833,81.8333,78.51,80,98,13.82,overcast clouds
234,Ambatondrazaka,MG,-17.8333,48.4167,58.15,82,47,10.16,scattered clouds
235,Buchanan,LR,5.8808,-10.0467,76.55,84,100,10.65,light rain
236,Kahului,US,20.8947,-156.47,75.97,87,40,14.97,light rain
237,Kudahuvadhoo,MV,2.6708,72.8944,82.76,76,82,10.02,broken clouds
238,Bitung,ID,1.4451,125.1824,76.05,83,95,10.42,overcast clouds
239,Gamba,GA,-2.65,10.0,70.9,81,98,6.69,overcast clouds
240,Morwell,AU,-38.2333,146.4,48.4,98,52,2.77,broken clouds
241,Merauke,ID,-8.4667,140.3333,77.43,85,47,10.02,scattered clouds
242,Oussouye,SN,12.485,-16.5469,86.18,69,89,10.04,light rain
243,Tessalit,ML,20.1986,1.0114,103.62,6,72,5.44,broken clouds
244,Aitape,PG,-3.1374,142.3475,78.01,84,100,4.09,overcast clouds
245,Morros,BR,-9.4467,-46.3003,91.47,21,0,10.04,clear sky
246,Necochea,AR,-38.5473,-58.7368,55.18,81,92,11.65,overcast clouds
247,Grindavik,IS,63.8424,-22.4338,57.15,94,100,20.71,overcast clouds
248,Shibetsu,JP,43.659,145.132,56.73,98,100,8.28,overcast clouds
249,Russell,US,32.3502,-85.1999,88.88,42,72,6.17,broken clouds
250,Cockburn Town,TC,21.4612,-71.1419,82.22,80,90,18.95,overcast clouds
251,Yenagoa,NG,4.9247,6.2642,74.8,92,100,6.04,light rain
252,Dikson,RU,73.5069,80.5464,34.21,83,44,7.29,scattered clouds
253,Sibu,MY,2.3,111.8167,77.31,88,40,0.0,scattered clouds
254,Ribera,IT,37.4984,13.2642,80.6,38,0,7.61,clear sky
255,Asuncion,PY,-25.3007,-57.6359,85.89,39,0,23.02,clear sky
256,Sabaudia,IT,41.3003,13.0282,82.89,58,0,6.02,clear sky
257,Walvis Bay,NA,-22.9575,14.5053,59.95,72,2,9.22,clear sky
258,Tianpeng,CN,30.9866,103.9393,86.47,80,89,2.98,overcast clouds
259,Cabo San Lucas,MX,22.8909,-109.9124,94.3,62,20,11.5,few clouds
260,Caimito,CO,8.8123,-75.4107,90.36,65,37,3.71,scattered clouds
261,Oeiras,BR,-7.0253,-42.1311,93.72,22,9,10.63,clear sky
262,Inirida,CO,3.8653,-67.9239,81.14,84,99,3.09,overcast clouds
263,Kargasok,RU,59.0556,80.8572,65.25,75,83,5.86,broken clouds
264,Vanavara,RU,60.34,102.2797,51.94,81,72,1.16,broken clouds
265,Kuytun,RU,54.3419,101.5036,53.46,94,98,8.43,light rain
266,Buraydah,SA,26.326,43.975,99.05,10,51,9.69,broken clouds
267,Dicabisagan,PH,17.0818,122.4157,78.82,91,93,4.07,overcast clouds
268,Touros,BR,-5.1989,-35.4608,81.09,66,25,16.44,scattered clouds
269,Narsaq,GL,60.9167,-46.05,55.62,77,91,5.14,overcast clouds
270,Cortes,ES,41.9395,-1.4396,96.08,23,0,16.33,clear sky
271,Tam Ky,VN,15.5667,108.4833,76.96,91,100,2.95,overcast clouds
272,Illapel,CL,-31.6308,-71.1653,52.88,72,40,13.13,scattered clouds
273,Pochutla,MX,15.7432,-96.4661,92.82,55,0,6.35,clear sky
