City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Douglas,US,85.55,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
386,Hebi,CN,75.18,scattered clouds,35.8992,114.1925,Wangfu Hotel
388,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
390,Jerantut,MY,75.79,overcast clouds,3.936,102.3626,Jerantut Hill Resort
391,Hamilton,US,78.53,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
392,Tharad,IN,85.26,broken clouds,24.3961,71.6267,Suresh Parmar
393,Tabuk,PH,74.34,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
394,Gizo,SB,80.29,broken clouds,-8.103,156.8419,Imagination Island
396,Mabaruma,GY,75.04,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
397,Kalmunai,LK,84.52,overcast clouds,7.4167,81.8167,VS Villa
398,Savelugu,GH,82.38,light rain,9.6244,-0.8253,Yoo Naa's Palace
402,Vanimo,PG,77.83,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
404,Roma,US,76.37,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
405,Santa Lucia,ES,74.77,clear sky,27.9117,-15.5407,Las Tirajanas
406,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
408,Methoni,GR,80.46,few clouds,36.8197,21.7049,Methoni Beach Hotel
409,Korla,CN,80.51,broken clouds,41.7597,86.1469,Gulisitan Hotel
410,Manoharpur,IN,88.9,overcast clouds,27.3,75.95,कैथल हरियाणा होटल
412,Fairbanks,US,71.22,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
416,Waingapu,ID,74.77,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
417,Harper,LR,77.4,broken clouds,4.375,-7.7169,Screensaver
422,Nicoya,CR,84.69,moderate rain,10.1483,-85.452,Las Cabinas Del Sueño
423,Khuzdar,PK,81.52,few clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
429,Itarema,BR,85.66,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
431,Ugoofaaru,MV,82.08,broken clouds,5.6667,73.0,Ungoofaaru Inn
433,San Jose,US,78.85,few clouds,37.3394,-121.895,The Westin San Jose
434,San Lawrenz,MT,82.85,clear sky,36.0553,14.204,San Andrea Hotel
435,Amahai,ID,77.5,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
436,Namangan,UZ,81.05,broken clouds,40.9983,71.6726,TANDIMON
437,Pandan,PH,79.52,overcast clouds,14.0453,124.1694,Bonifacio Lodge
440,Ville-Marie,CA,73.26,few clouds,47.3335,-79.433,La Bannik
445,Zlobin,HR,70.9,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
447,Pokhara,NP,72.1,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
448,Desur,IN,82.08,overcast clouds,12.4333,79.4833,SARATHI..Hotel
455,Lang Son,VN,74.48,scattered clouds,21.8333,106.7333,Khai Nga Hotel
461,Moerai,PF,72.37,broken clouds,-22.4333,-151.3333,Le Manotel
462,Kiunga,PG,71.69,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
463,Gambiran,ID,71.42,clear sky,-6.7988,111.4951,GUBUK KU
464,Keti Bandar,PK,82.76,overcast clouds,24.1447,67.4497,Haji laloo memon house
466,Tukrah,LY,79.48,clear sky,32.5341,20.5791,Lagrota restaurant
468,Rantoul,US,80.98,scattered clouds,40.3084,-88.1559,First Heritage Inn
469,Nanakuli,US,76.95,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
471,Kincardine,GB,75.92,broken clouds,56.0667,-3.7167,Premier Inn Falkirk North hotel
473,Santa Marta,CO,91.45,few clouds,11.2408,-74.199,Hotel La Ballena Azul
474,West Lafayette,US,80.22,clear sky,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
476,West Plains,US,85.89,overcast clouds,36.7281,-91.8524,West Plains Motel
477,Oxford,GB,80.22,clear sky,51.7522,-1.256,Malmaison Oxford
480,Sur,OM,83.07,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
481,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
482,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
483,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Hotel Imperador
485,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
486,Muros,ES,82.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
488,Kassala,SD,80.78,overcast clouds,15.451,36.4,Amassi Hotel Gash
489,Banda Aceh,ID,81.09,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
490,Aksehir,TR,73.98,scattered clouds,38.3575,31.4164,GRAND HOTEL AKŞEHİR
492,Gazanjyk,TM,85.17,clear sky,39.2446,55.5154,Railway motel
494,Kieta,PG,77.36,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
495,Lima,PE,70.9,broken clouds,-12.0432,-77.0282,Hotel Kamana
496,Puerto Escondido,MX,88.5,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
497,Sao Filipe,CV,74.39,scattered clouds,14.8961,-24.4956,Hotel Xaguate
499,Domoni,KM,74.52,broken clouds,-12.2569,44.5319,Al Djadid
503,Bam,IR,93.83,scattered clouds,29.106,58.357,Bam Tourist Hotel
504,Bondoukou,CI,72.88,moderate rain,8.0333,-2.8,Prestige Hotel
510,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN
512,Shelburne,CA,71.24,clear sky,44.0787,-80.2041,The Retreat at the Farm
513,Makakilo City,US,75.52,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
514,Puerto Carreno,CO,84.18,few clouds,6.189,-67.4859,Casa Hotel Victoria
515,Sooke,CA,70.09,overcast clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
518,Traverse City,US,79.99,scattered clouds,44.7631,-85.6206,Bayshore Resort
521,Houma,US,93.02,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
522,Rivers,CA,76.15,broken clouds,50.0308,-100.2403,Blue Crescent Hotels
523,Metapan,SV,88.36,broken clouds,14.3333,-89.45,Hotel San José
525,Changji,CN,70.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
